name,phone,phone_clean,email,city,address,rating,reviews,website,source,scraped_at
All Florida Products & Services Inc,(904) 982-6075,9049826075,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.042041
Pavers & Pergolas,(904) 442-5888,9044425888,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.042328
Coker Corporation,(904) 518-8705,9045188705,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.042566
Bryant Landscaping,(904) 520-8389,9045208389,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.042829
Southside Outdoor Services LLC,(904) 629-1167,9046291167,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.043216
"EliteScapes, Inc.",(904) 463-1505,9044631505,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.043550
Green Valley Outdoors LLC,(904) 314-2819,9043142819,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.043889
Water Right Irrigation LLC,(904) 531-8134,9045318134,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.044253
Revivifi,(904) 982-6034,9049826034,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.044552
"All Of The Above Landscaping, LLC",(904) 589-8486,9045898486,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.044862
K & K Lawn Care & Landscaping LLC,(386) 336-5715,3863365715,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.045175
Pallai Services Inc,(904) 662-7071,9046627071,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.045398
Jacobs Way,(904) 537-2925,9045372925,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.045746
Bryan'sSod& Landscaping,(904) 708-8417,9047088417,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.046046
Guardian Services of Duval LLC,(904) 234-1999,9042341999,,"Jacksonville, FL",,0,0,,bbb,2026-01-03T12:36:43.046275
